"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gghighlight","gghighlight","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.2",NA,"ggplot2 (>= 3.0.0), R (>= 3.2.0)","dplyr (>= 1.0.0), ggrepel, lifecycle, purrr, rlang, tibble",NA,"knitr, rmarkdown, sf, testthat, vdiffr (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggnewscale","ggnewscale","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.7",NA,NA,"ggplot2 (>= 3.0.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ggOceanMaps","ggOceanMaps","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.4",NA,"R (>= 3.5.0), ggplot2, ggspatial","sp, raster, sf, rgeos, methods, utils, stars, smoothr, units,
dplyr, parallel",NA,"ggOceanMapsData, cowplot, knitr, rmarkdown, scales, rgdal,
ggnewscale",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ggplot2","ggplot2","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggpubr","ggpubr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"ggrepel","ggrepel","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"ggridges","ggridges","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggsci","ggsci","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggsignif","ggsignif","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggspatial","ggspatial","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.5",NA,"R (>= 2.10)","sf, ggplot2 (>= 3.0.0), rosm (>= 0.2), abind, methods, tibble,
scales, tidyr, rlang, grid, glue",NA,"prettymapr, knitr, rmarkdown, sp, rgdal, raster, testthat (>=
2.1.0), dplyr, withr, ggrepel, stars, covr, vdiffr, lwgeom",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ggstance","ggstance","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.5",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"covr, Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ggstats","ggstats","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,NA,"broom.helpers, cli, dplyr, forcats, ggplot2, lifecycle,
magrittr, scales, stats, tidyr",NA,"broom, emmeans, knitr, labelled, reshape, rmarkdown, nnet,
testthat (>= 3.0.0), spelling, survey, survival, vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"gh","gh","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.1",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"gifski","gifski","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.6-1",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"gitcreds","gitcreds","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"glmmfields","glmmfields","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.4",NA,"methods, R (>= 3.4.0), Rcpp (>= 0.12.18)","assertthat, broom, broom.mixed, cluster, dplyr (>= 0.8.0),
forcats, ggplot2 (>= 2.2.0), loo (>= 2.0.0), mvtnorm, nlme,
reshape2, rstan (>= 2.18.2), rstantools (>= 1.5.1), tibble","BH (>= 1.66.0), Rcpp (>= 0.12.8), RcppEigen (>= 0.3.3.3.0),
rstan (>= 2.18.2), StanHeaders (>= 2.18.0)","bayesplot, coda, knitr, parallel, rmarkdown, testthat,
viridis",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"glmnet","glmnet","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.1-4",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"globals","globals","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"glue","glue","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"gmodels","gmodels","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"gmp","gmp","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6-5",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"goftest","goftest","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"googledrive","googledrive","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"googlesheets4","googlesheets4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"gower","gower","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"GPfit","GPfit","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"gratia","gratia","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.2",NA,"R (>= 3.6.0)","mgcv, ggplot2, tibble, dplyr (>= 1.0.0), tidyr, rlang,
patchwork, vctrs, grid, mvnfast, purrr, stats, tools,
grDevices, stringr, tidyselect, lifecycle, nlme",NA,"gamm4, lme4, testthat, vdiffr, MASS, scam, datasets, withr,
knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"graticule","graticule","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.6",NA,"sp","methods, quadmesh, raster, utils, geosphere, stats",NA,"devtools, knitr, maptools, oce, rgdal, rworldmap, sf, spex,
testthat (>= 2.1.0), rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"gridBase","gridBase","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"gridExtra","gridExtra","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gss","gss","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2-3",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"gstat","gstat","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0-9",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.0.5"
"gsw","gsw","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-6",NA,"R (>= 3.5.0),",NA,NA,"knitr, rmarkdown, testthat",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"gtable","gtable","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gtools","gtools","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"h2o","h2o","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.36.0.4",NA,"R (>= 2.13.0), methods, stats","graphics, tools, utils, RCurl, jsonlite",NA,"ggplot2 (>= 3.3.0), mlbench, Matrix, slam, bit64 (>= 0.9.7),
data.table (>= 1.9.8), rgl (>= 0.100.19), plot3Drgl (>= 1.0.1),
survival, DT, IRdisplay, htmltools, plotly, repr",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.5"
"hardhat","hardhat","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 2.10)","glue, rlang (>= 0.4.2), tibble, vctrs (>= 0.3.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
2.1.0), usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"haven","haven","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.5.0",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"HDInterval","HDInterval","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"here","here","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"hexbin","hexbin","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"highr","highr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"Hmisc","Hmisc","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.6-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"HMM","HMM","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"hms","hms","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"hoardr","hoardr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.2",NA,NA,"R6 (>= 2.2.0), rappdirs (>= 0.3.1), digest",NA,"roxygen2 (>= 6.0.1), testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"hrbrthemes","hrbrthemes","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"htmlTable","htmlTable","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"htmltools","htmltools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"htmlwidgets","htmlwidgets","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"httpcode","httpcode","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"httpuv","httpuv","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.5",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"httr","httr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"hunspell","hunspell","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0.1",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.0.5"
"hypergeo","hypergeo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"ids","ids","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"igraph","igraph","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.0",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"infer","infer","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,"R (>= 3.5.0)","dplyr (>= 0.7.0), ggplot2, glue (>= 1.3.0), grDevices,
magrittr, methods, purrr, rlang (>= 0.2.0), tibble, broom,
tidyr, generics, patchwork",NA,"covr, devtools (>= 1.12.0), fs, knitr, nycflights13,
rmarkdown, stringr, testthat, vdiffr (>= 1.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.0.5"
"influenceR","influenceR","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0.1",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"ini","ini","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"inline","inline","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.19",NA,NA,"methods",NA,"Rcpp (>= 0.11.0), tinytest",NA,"LGPL",NA,NA,NA,NA,"no","4.0.5"
"installr","installr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.23.2",NA,"R (>= 2.14.0)","stringr, utils",NA,"curl, XML, devtools, rjson, data.table, plyr, ggplot2, sp,
tools, pkgbuild (>= 1.1.0), testthat (>= 2.1.0), mockery,
R.utils",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"interp","interp","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-3",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"intervals","intervals","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.15.2",NA,"R (>= 2.9.0)","utils, graphics, methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"ipred","ipred","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"isoband","isoband","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"iterators","iterators","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.5"
"itertools","itertools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"janitor","janitor","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"jpeg","jpeg","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"jquerylib","jquerylib","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"jsonify","jsonify","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"jsonlite","jsonlite","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.0",NA,"methods",NA,NA,"httr, curl, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"jtools","jtools","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.4",NA,"R (>= 2.10)","crayon, generics, ggplot2 (>= 3.3.0), magrittr, pander,
pkgconfig, rlang (>= 0.3.0), tibble",NA,"boot, broom, broom.mixed, ggstance, huxtable (>= 3.0.0),
kableExtra, lme4, lmerTest, MASS, methods, pbkrtest,
RColorBrewer, sandwich, scales, survey, weights, knitr,
rmarkdown, testthat","brms, quantreg, rstanarm","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"kdensity","kdensity","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,NA,"assertthat, univariateML, EQL",NA,"extraDistr, SkewHyperbolic, testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"kernlab","kernlab","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9-30",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"KernSmooth","KernSmooth","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.0.5"
"KFAS","KFAS","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.6",NA,"R (>= 3.1.0)","stats",NA,"knitr, lme4, MASS, Matrix, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"kknn","kknn","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.1",NA,"R (>= 2.10)","igraph (>= 1.0), Matrix, stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"knitr","knitr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.38",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.29), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"ks","ks","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.13.5",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), plot3D, pracma",NA,"geometry, MASS, misc3d (>= 0.4-0), oz, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"labeling","labeling","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.0.3"
"landscapemetrics","landscapemetrics","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.4",NA,"R (>= 3.1)","cli, ggplot2, methods, raster, Rcpp, sp, stats, tibble","Rcpp, RcppArmadillo","covr, dplyr, knitr, rgeos, rmarkdown, terra, testthat","stars, sf,","GPL-3",NA,NA,NA,NA,"yes","4.0.5"
